MFN,Code,TITRE/DOSSIER,CONTENU,ANA. DIPLOM.,DATE EXTREME,ANNEE,PASSAGE GED,SORT FINAL,OBSERVATIONS
00471,0464/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),AVRIL  2013,2013,OUI,CONSERVATION,
00472,0465/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),MAI  2013,2013,OUI,CONSERVATION,
00473,0466/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),JUIN 2013,2013,OUI,CONSERVATION,
00474,0467/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),JUILLET 2013,2013,OUI,CONSERVATION,
00475,0468/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),AOUT 2013,2013,OUI,CONSERVATION,
00476,0469/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),SEPTEMBRE 2013,2013,OUI,CONSERVATION,
00477,0470/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),OCTOBRE 2013,2013,OUI,CONSERVATION,
00478,0471/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),NOVEMBRE 2013,2013,OUI,CONSERVATION,
00479,0472/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),DECEMBRE 2013,2013,OUI,CONSERVATION,
00480,0473/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ PETROFA BURKINA,"LIVRAISON, SOTIE GAZ, PETROFA, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),JANVIER - DECEMBRE 2013,2013,OUI,CONSERVATION,
