ID,TITRE_DOSSIER,N_PIECES;,DATE;,OBSERVATIONS,CONTENU;,ANA_DIPLOM,CLI_FOUR;,L'INTERIEUR_DE_LA_COUR_DU_SIEGE,SIEGE_DE_LA_SONABHY,SONABHY,CONTRE_L'INCENDIE,AUX_COMPTES_I,AUX_COMPTES_II,AUX_COMPTES_III,INCENDIE_I,INCENDIE_II,WAGONS-CITERNES_A_BINGO_I,WAGONS-CITERNES_A_BINGO_II,DEPOT_DE_BOBO,"""TITRE_DOSSIER","DATE;""",BINGO,BINGO_II,SIEGE,II,AU_DEPOT,DU_SIEGE,DE_COMPTE,COMPTABILITE,
1153,COURRIER ARRIVEE II,,2000,,,(Lettre),,,,,,,,,,,,,,,,,,,,,,,,
1154,COURRIER ARRIVEE III,,2000,,,(Lettre),,,,,,,,,,,,,,,,,,,,,,,,
1155,COURRIER ARRIVEE IV,,2000,,,(Lettre),,,,,,,,,,,,,,,,,,,,,,,,
1156,COURRIER DEPART,,2000,,,(Lettre),,,,,,,,,,,,,,,,,,,,,,,,
1157,FAX ET TELEX,,1998-1999,,,"(Fax, télex )",,,,,,,,,,,,,,,,,,,,,,,,
1158,NOTES DE SERVICE ET DECISIONS,,1996-2000,,,"(Note de service, décision, décret, arrêté)",,,,,,,,,,,,,,,,,,,,,,,,
1159,NOTES DE SERVICE,,1999-2000,,,(Note de service),,,,,,,,,,,,,,,,,,,,,,,,
1160,BONS DE COMMANDE,,1998-1999,,,(Bon),,,,,,,,,,,,,,,,,,,,,,,,
1161,BONS DE COMMANDE,,1999,,,(Bon),,,,,,,,,,,,,,,,,,,,,,,,
1162,BONS DE COMMANDE,,2000,,,(Bon),,,,,,,,,,,,,,,,,,,,,,,,
1163,DONS ET CONTRIBUTIONS,,1999,,"DON, CONTRIBUTION",(Lettre arrivee),,,,,,,,,,,,,,,,,,,,,,,,
1164,DONS ET CONTRIBUTIONS,,1999,,"DON, CONTRIBUTION, AIDE",(Lettre arrivée),,,,,,,,,,,,,,,,,,,,,,,,
1165,DONS ET CONTRIBUTIONS,,2000,,"DON, CONTRIBUTION, AIDE",(Lettre arrivée),,,,,,,,,,,,,,,,,,,,,,,,
1166,APPELS D'OFFRE : ENGAGEMENT DE PAIEMENT,,1998,,"APPEL D'OFFRE, PAIEMENT","(Fax, lettre, avis de débit)",,,,,,,,,,,,,,,,,,,,,,,,
1167,BORDEREAUX D'ENVOI DES CHEQUES,,"Février, août, 1997",,"Chèque, banque",(Bordereau d'envoi),,,,,,,,,,,,,,,,,,,,,,,,
1168,BORDEREAUX D'ENVOI DES CHEQUES,,"Septembre, décembre, 1997",,"CHEQUE, BANQUE",(Bordereau d'envoi),,,,,,,,,,,,,,,,,,,,,,,,
1169,COURS USD,,1998-1999,,"DOLLARS US, MONNAIE",(Lettre),,,,,,,,,,,,,,,,,,,,,,,,
1170,COURS USD,,1999,,"DOLLARS US, MONNAIE",(Lettre),,,,,,,,,,,,,,,,,,,,,,,,
1171,ETATS DE REVERSEMENT BICIA-B BIB BILLETAGE 1989,,1987-1989,,"REVERSEMENT, BILLETAGE, BICIA-B, BIB",(Etat),,,,,,,,,,,,,,,,,,,,,,,,
1172,ENGAGEMENTS IRREVOCABLES DE VIREMENT DE SALAIRE,,1987-1997,,"VIREMENT DE SALAIRE, PERSONNEL, SONABHY",(Formulaire d'engagement),,,,,,,,,,,,,,,,,,,,,,,,
1173,REMBOURSEMENT DES FRAIS MEDICAUX DES FAMILLES,,1990-1991,,"FRAIS MEDICAUX, FAMILLE, PERSONNEL, SONABHY",(Formulaire de remboursement),,,,,,,,,,,,,,,,,,,,,,,,
1174,REMBOURSEMENT DES FRAIS MEDICAUX DES FAMILLES 1991,,1991,,"FRAIS MEDICAUX, FAMILLE, PERSONNEL, SONABHY",(Formulaire de remboursement),,,,,,,,,,,,,,,,,,,,,,,,
1175,AUTRES REVERSEMENTS ET ETATS,,1990-1991,,"REVERSEMENT, PERSONNEL, SONABHY","(Etat, lettre)",,,,,,,,,,,,,,,,,,,,,,,,
1176,CERTIFICATS MEDICAUX 1987-1990,,1987-1990,,"CERTIFICAT MEDICAL, PERSONNEL, SONABHY",(CERTIFICAT),,,,,,,,,,,,,,,,,,,,,,,,
1177,TRAITEMENT DES SALAIRES 1992,,1992,,"SALAIRE, PERSONNEL, SONABHY","(Etat, lettre)",,,,,,,,,,,,,,,,,,,,,,,,
1178,TRAITEMENT DES SALAIRES 1993,,"Septembre, décembre, 1993",,"SALAIRE, PERSONNEL, SONABHY","(Etat, lettre)",,,,,,,,,,,,,,,,,,,,,,,,
1179,TRAITEMENT DES SALAIRES 1993,,"JANVIER-DECEMBRE, 1993",,"SALAIRE, PERSONNEL, SONABHY","(Etat, lettre)",,,,,,,,,,,,,,,,,,,,,,,,
1180,ETATS BILLETAGE BIB BICIA-B,,1990-1991,,"SALAIRE, BILLETAGE, PERSONNEL, SONABHY, BIB, BICIA-B","(Etat, lettre)",,,,,,,,,,,,,,,,,,,,,,,,
1181,PROTECTION ET DECORATION : OFFRES DE SERVICE,,1987-1995,,"OFFRE DE SERVICE, PROTECTION, DECORATION,",(Lettre),,,,,,,,,,,,,,,,,,,,,,,,
1182,SOCIETES D'ASSURANCE - FOURNITURES DE BUREAU,,1991-1995,,"OFFRE DE SERVICE, FOURNITURE DE BUREAU, ASSURANCE",(LETTRE ARRIVEE),,,,,,,,,,,,,,,,,,,,,,,,
1183,CONSTRUCTION ET GENIE CIVIL : OFFRE DE SERVICE,,1993-1995,,"OFFRE DE SERVICE, CONSTRUCTION, GENIE CIVIL",(Lettre arrivée),,,,,,,,,,,,,,,,,,,,,,,,
1184,MATERIELS INDUSTRIELS ET TECHNIQUES : OFFRES DE,,1991-1995,,"OFFRE DE SERVICE, MATERIEL INDUSTRIEL, MATERIEL",(LETTRE ARRIVEE),,,,,,,,,,,,,,,,,,,,,,,,
1185,BONS DE COMMANDE N°2362-2571,,2000,,"BON DE COMMANDE, FOURNITURE DE BUREAU, MATERIEL DE","(BON DE COMMANDE, FACTURE)",,,,,,,,,,,,,,,,,,,,,,,,
1186,BONS DE COMMANDE N°2573-2696,,2000,,"FOURNITURE DE BUREAU, EQUIPEMENT","(BON DE COMMANDE, FACTURE)",,,,,,,,,,,,,,,,,,,,,,,,
1187,BONS DE COMMANDE N°2691-2814,,2000,,"FOURNITURE DE BUREAU, EQUIPEMENT","(BON DE COMMANDE, FACTURE)",,,,,,,,,,,,,,,,,,,,,,,,
