date_versement,date_enregistrement,provenance,cote,titre,contenu,analyse,dates_extremes,annee,duree_utilite,sort_final,initial,niveau_description,importance_materielle,ged
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0035/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE AVRIL 2003 A OCTOBRE 2004,TRANSMISSION; COURRIER, REGISTRE, AVRIL 2003 - OCTOBRE 2004,2003; 2004, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0036/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE MARS 2004 A JANVIER 2006,TRANSMISSION; COURRIER, REGISTRE, MARS 2004 - JANVIER 2006,2004; 2005; 2006, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0037/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE MAI 2005 A DECEMBRE 2008,TRANSMISSION; COURRIER, REGISTRE, MAI 2005 - DECEMBRE 2008,2005; 2006; 2007; 2008, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0038/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE JUIN 2007 A MAI 2008,TRANSMISSION; COURRIER, REGISTRE, JUIN 2007 - MAI 2008,2007; 2008, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0039/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE NOVEMBRE 2006 A JANVIER 2010,TRANSMISSION; COURRIER, REGISTRE, NOVEMBRE 2006 - JANVIER 2010,2006; 2007; 2008; 2009; 2010, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0040/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE JANVIER 2009 A OCTOBRE2011,TRANSMISSION; COURRIER, REGISTRE, JANVIER 2009 - OCTOBRE 2011,2009; 2010; 2011, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0041/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION D'APPEL D'OFFRE ET D'ACHAT DE RESSOURCES MATERIELS DE JUIN 2009 A MARS 2015,TRANSMISSION; COURRIER, REGISTRE, JUIN 2009 - MARS 2015,2009; 2010; 2011; 2012; 2013; 2014; 2015, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0042/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE DECEMBRE 2009 A DECEMBRE 2010,TRANSMISSION; COURRIER, REGISTRE, DECEMBRE 2009 - DECEMBRE 2010,2009; 2010, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0043/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE FEVRIER 2010 A JANVIER 2015,TRANSMISSION; COURRIER, REGISTRE,,2010; 2011; 2012; 2013; 2014; 2015, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0044/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE FEVRIER 2010 A MARS 2010,TRANSMISSION; COURRIER, REGISTRE, FEVRIE 2010 - MARS 2010,2010, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
