ID,Cote de rangement,Titre du dossier,Contenu du dossier,Analyse diplomatique,Solution GED,Annee
00994,1477/CJ,JURIDICTION ET CONTENTIEUX :TRANSPORT DE PRODUIT PETROLIER:CONTRAT N°18/0028 DU 01-02-18 SONABHY ET SOTRAZO,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SOTRAZO",(CONTRAT),DOCESSEN,2018
00995,1478/CJ,JURIDICTION ET CONTENTIEUX :TRANSPORT DE PRODUIT PETROLIER:CONTRAT N°18/0058 DU 03-02-18 SONABHY ET KOUANDA ABLASSE,"TRANSPORT, PRODUIT PETROLIER, SONABHY, KOUANDA ABLASSE",(CONTRAT),DOCESSEN,2018
00996,1479/CJ,JURIDICTION ET CONTENTIEUX :TRANSPORT DE PRODUIT PETROLIER:CONTRAT N°18/0094 DU 03-02-18 SONABHY ET EKFSA (KABORE Hamado),"TRANSPORT, PRODUIT PETROLIER, SONABHY, KOUANDA ABLASSE, EKFSA",(CONTRAT),DOCESSEN,2018
00997,1480/CJ,JURIDICTION ET CONTENTIEUX :TRANSPORT DE PRODUIT PETROLIER : CONTRAT N°18/0091 DU 03 FEVRIER 2018 + AVENANT N°18/0944 DU 18 DECEMBRE 2018 : SONABHY ET BRAVO SIERRA,"TRANSPORT, PRODUIT PETROLIER, SONABHY, BRAVO SIERRA","(CONTRAT, AVENANT)",DOCESSEN,2018
00998,1481/CJ,JURIDICTION ET CONTENTIEUX :TRANSPORT DE PRODUIT PETROLIER:CONTRAT N°18/0086 DU 03-02-18 SONABHY ET SOTRAYAM,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SOTRAYAM",(CONTRAT),DOCESSEN,2018
00999,1482/CJ,JURIDICTION ET CONTENTIEUX :TRANSPORT DE PRODUIT PETROLIER : CONTRAT N°18/0079 DU 03-02-18 + AVENANT N°18/0807 DU 24 SEPTEMBRE 2018 + AVENANT N°19/0190 DU 06 JUIN 2019 + AVENANT N°20/0186 DU 22 JUIN 2020 + AVENANT N°21/0099 DU 30 AVRIL 2021 + AVENANT N°21/0130 DU 16 JUIN 2021 + AVENANT N°22/0361 DU 24 JUIN 2022 : SONABHY ET SOUGRI TECHNOLOGIES,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SOUGRI TECHNOLOGIES","(CONTRAT, AVENANT)",DOCESSEN,2018 2019 2020 2021 2022
01000,1483/CJ,JURIDICTION ET CONTENTIEUX :TRANSPORT DE PRODUIT PETROLIER:CONTRAT N°18/0071 DU 03-02-18 SONABHY ET BARTH INDUSTRY,"TRANSPORT, PRODUIT PETROLIER, SONABHY, BARTH INDUSTRY",(CONTRAT),DOCESSEN,2018
01001,1484/CJ,JURIDICTION ET CONTENTIEUX :TRANSPORT DE PRODUIT PETROLIER:CONTRAT N°18/0052 DU 03-02-18 SONABHY ET KABORE ISSAKA (EKIS),"TRANSPORT, PRODUIT PETROLIER, SONABHY, KABORE ISSAKA, EKIS",(CONTRAT),DOCESSEN,2018
01002,1485/CJ,JURIDICTION ET CONTENTIEUX :TRANSPORT DE PRODUIT PETROLIER : CONTRAT N°18/0019 DU 01-02-18 + AVENANT N°18/0724 DU 14 AOUT 2018 : SONABHY ET SOTRAZOF,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SOTRAZOF","(CONTRAT, AVENANT)",DOCESSEN,2018
01003,1486/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUIT PETROLIER : CONTRAT N°18/0054 DU 03 FEVRIER 2018 + AVENANT N° 18/0809 DU 25 SEPTEMBRE 2018 + AVENANT N°19/374 DU 20 AOUT 2019 : SONABHY ET SOCIETE OUEST AFRICAINE DE COMMERCE (SOCA),"TRANSPORT, PRODUIT PETROLIER, SONABHY, SOCA, SOCIETE OUEST AFRICAINE DE COMMERCE","(CONTRAT, AVENANT)",DOCESSEN,2018 2019
01004,1487/CJ,JURIDICTION ET CONTENTIEUX :TRANSPORT DE PRODUIT PETROLIER : CONTRAT N°18/0137 DU 09 FEVRIER 2018 + AVENANT N°19/0122 DU 01 AVRIL 2019 + AVENANT N°20/0007 DU 10 JANVIER 2020 : SONABHY ET ETIMAS (SANKARA KADIDJATOU),"TRANSPORT, PRODUIT PETROLIER, SONABHY, ETIMAS, SANKARA KADIDJATOU","(CONTRAT, AVENANT)",DOCESSEN,2018-2020
01005,1488/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT N°18/0082 DU 03 FEVRIER 18 + AVENANT N°20/0085 DU 16 MARS 2020 + CONTRAT N°20/0105 DU 03 AVRIL 2020 + AVENANT N°21/0229 DU 06 AOUT 2021 + AVENANT N°21/0390 DU 22 DECEMBRE 2021 + AVENANT N°22/0544 DU 20 OCTOBRE 2022 : SONABHY ET TRANSPORT INTERNATIONAL NOURIA,"TRANSPORT, PRODUIT PETROLIER, SONABHY, TRANSPORT INTERNATIONAL NOURIA","(CONTRAT, AVENANT)",DOCESSEN,2018 2020 2021 2022
01006,1489/CJ,JURIDICTION ET CONTENTIEUX :TRANSPORT DE PRODUIT PETROLIER:CONTRAT N°18/0062 DU 03-02-18 SONABHY ET OUEDRAOGO KIENDANABA MADY,"TRANSPORT, PRODUIT PETROLIER, SONABHY, OUEDRAOGO KIENDANABA MADI",(CONTRAT),DOCESSEN,2018
01007,1490/CJ,JURIDICTION ET CONTENTIEUX :TRANSPORT DE PRODUIT PETROLIER : CONTRAT N°18/0182 DU 16-02-18 + AVENANT N°18/0767 DU 03 SEPTEMBRE 2018 + AVENANT N°19/0134 DU 05 AVRIL 2019 : SONABHY ET SOCOTRANS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SOCOTRANS","(CONTRAT, AVENANT)",DOCESSEN,2018 2019
01008,1491/CJ,JURIDICTION ET CONTENTIEUX :TRANSPORT DE PRODUIT PETROLIER:CONTRAT N°18/0042 DU 16-02-18 SONABHY ET ENTREPRISE TIBIE,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ENTREPRISE TIBIE",(CONTRAT),DOCESSEN,2018
01009,1492/CJ,JURIDICTION ET CONTENTIEUX :TRANSPORT DE PRODUIT PETROLIER:CONTRAT N°18/0073 DU 03-02-18 SONABHY ET STHYMAD,"TRANSPORT, PRODUIT PETROLIER, SONABHY, STHYMAD",(CONTRAT),DOCESSEN,2018
01010,1493/CJ,JURIDICTION ET CONTENTIEUX :TRANSPORT DE PRODUIT PETROLIER:CONTRAT N°18/0153 DU 12-02-18 SONABHY ET LOUGUET DIEUDONNE,"TRANSPORT, PRODUIT PETROLIER, SONABHY, LOUGUET DIEUDONNE",(CONTRAT),DOCESSEN,2018
01011,1494/CJ,JURIDICTION ET CONTENTIEUX :TRANSPORT DE PRODUIT PETROLIER:CONTRAT N°18/0135 DU 09-02-18 SONABHY ET FARGA ZANA MINATA,"TRANSPORT, PRODUIT PETROLIER, SONABHY, FARGA ZANA MINATA",(CONTRAT),DOCESSEN,2018
01012,1495/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°18/0380 DU 14 MARS 2018 : SONABHY ET PETRO BRAGE,"TRANSPORT, PRODUIT PETROLIER, SONABHY, PETRO BRAGE",(CONTRAT),DOCESSEN,2018
