ID,Cote de rangement,Titre du dossier,Contenu du dossier,Analyse diplomatique,Solution GED,Annee
01479,1961/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT N°22/0614 DU 14 DECEMBRE 2022 : SONABHY ET BUMUSER,"TRANSPORT, PRODUIT PETROLIER, SONABHY, BUMUSER",(CONTRAT),DOCESSEN,2022
01480,1962/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT N°22/0546 DU 20 OCTOBRE 2022 : SONABHY ET FATIM TRADING,"TRANSPORT, PRODUIT PETROLIER, SONABHY, FATIM TRADING",(CONTRAT),DOCESSEN,2022
01481,1963/CJ,JURIDICTION ET CONTENTIEUX : VENTE DE PRODUITS PETROLIERS : CONTRAT N°23/0007 DU 06 JANVIER 2023 : SONABHY ET YATT & CO ENERGY BENIN,"VENTE, PRODUIT PETROLIER, SONABHY, YATT ET CO ENERGY BENIN",(CONTRAT),DOCESSEN,2023
01482,1964/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT N°23/0013 DU 12 JANVIER 2023 : SONABHY ET LEVI RUBEN,"TRANSPORT, PRODUIT PETROLIER, SONABHY, LEVI RUBEN",(CONTRAT),DOCESSEN,2023
01483,1965/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : AVENANT N°23/0018 DU 13 JANVIER 2023 : SONABHY ET ALSODI,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ALSODI",(AVENANT),DOCESSEN,2023
01484,1966/CJ,JURIDICTION ET CONTENTIEUX : VENTE DE PRODUITS PETROLIERS : CONTRAT N°23/0049 DU 24 JANVIER 2023 : SONABHY ET CY FAVOR INT'L LIMITED,"VENTE, PRODUIT PETROLIER, SONABHY, CY FAVOR INT'L LIMITED",(CONTRAT),DOCESSEN,2023
01485,1967/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : AVENANT N°23/0035 DU 19 JANVIER 2023 : SONABHY ET RIM LOGISTIC ET TRADE,"TRANSPORT, PRODUIT PETROLIER, SONABHY, RIM LOGISTIC ET TRADE",(AVENANT),DOCESSEN,2023
01486,1968/CJ,JURIDICTION ET CONTENTIEUX : VENTE DE PRODUITS PETROLIERS : CONTRAT N°23/0084 DU 07 FEVRIER 2023 : SONABHY ET MASSA HOLDING,"VENTE, PRODUIT PETROLIER, SONABHY, MASSA HOLDING",(CONTRAT),DOCESSEN,2023
01487,1969/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT N°23/0057 DU 27 JANVIER 2023 : SONABHY ET ABDOUL RACHID BUSINESS INTERNATIONAL,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ABDOUL RACHID BUSINESS INTERNATIONAL",(CONTRAT),DOCESSEN,2023
01488,1970/CJ,JURIDICTION ET CONTENTIEUX : VENTE DE PRODUITS PETROLIERS : CONTRAT N°23/0034 DU 18 JANVIER 2023 : SONABHY ET WAGIP,"VENTE, PRODUIT PETROLIER, SONABHY, WAGIP",(CONTRAT),DOCESSEN,2023
01489,1971/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT N°23/0042 DU 20 JANVIER 2023 + AVENANT N°24/0037 DU 18 JANVIER 2024 : SONABHY ET KOGLA EXPERTISE SERVICES,"TRANSPORT, PRODUIT PETROLIER, SONABHY, KOGLA EXPERTISE SERVICES","(CONTRAT, AVENANT)",DOCESSEN,2023 2024
01490,1972/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT N°23/0016 DU 12 JANVIER 2023 + AVENANT N°23/0098 DU 15 FEVRIER 2023 + 24/0138 DU 15 MARS 2024 : SONABHY ET GENERAL IMMO TRANSPORT,"TRANSPORT, PRODUIT PETROLIER, SONABHY, GENERAL IMMO TRANSPORT","(CONTRAT, AVENANT)",DOCESSEN,2023 2024
01491,1973/CJ,JURIDICTION ET CONTENTIEUX : VENTE DE PRODUITS PETROLIERS : CONTRAT N°23/0083 DU 07 FEVRIER 2023 : SONABHY ET SOTRAH DOF,"VENTE, PRODUIT PETROLIER, SONABHY, SOTRAH DOF",(CONTRAT),DOCESSEN,2023
01492,1974/CJ,"JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT N°23/0100 DU 15 FEVRIER 2023 : SONABHY ET BAMBA YEREMA (OUATTARA KANDE, BBYM)","TRANSPORT, PRODUIT PETROLIER, SONABHY, BAMBA YEREMA, OUATTARA KANDE, BBYM",(CONTRAT),DOCESSEN,2023 2024
01493,1975/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT N°23/0087 DU 09 FEVRIER 2023 : SONABHY ET TRANSPORT SINFRA,"TRANSPORT, PRODUIT PETROLIER, SONABHY, TRANSPORT SINFRA",(CONTRAT),DOCESSEN,2023
01494,1976/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT N°23/0078 DU 03 FEVRIER 2023 + AVENANT N°23/0547 DU 14 DECEMBRE 2023 : SONABHY ET TRANSCADI,"TRANSPORT, PRODUIT PETROLIER, SONABHY, TRANSCADI","(CONTRAT, AVENANT)",DOCESSEN,2023
01495,1977/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT N°23/0090 DU 09 FEVRIER 2023 : SONABHY ET ENCORE,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ENCORE",(CONTRAT),DOCESSEN,2023
01496,1978/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT N°23/0109 DU 17 FEVRIER 2023 : SONABHY ET TRAFICOM RESSOURCES,"TRANSPORT, PRODUIT PETROLIER, SONABHY, TRAFICOM RESSOURCES",(CONTRAT),DOCESSEN,2023
01497,1979/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT N°23/0111 DU 17 FEVRIER 2023 + AVENANT N°24/0131 DU 07 MARS 2024 : SONABHY ET TIENU PAALU (TANKOARI DIANOU),"TRANSPORT, PRODUIT PETROLIER, SONABHY, TIENU PAALU, TANKOARI DIANOU",(CONTRAT),DOCESSEN,2023ù2024
01498,1980/CJ,JURIDICTION ET CONTENTIEUX : VENTE A CREDIT DE PRODUITS PETROLIERS : CONTRAT N°23/0128 DU 23 FEVRIER 2023 : SONABHY ET ALLIANCE PETROLUM,"VENTE, PRODUIT PETROLIER, SONABHY, ALLIANCE PETROLUM",(CONTRAT),DOCESSEN,2023
01499,1981/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT N°23/0066 DU 03 FEVRIER 2023 + AVENANT N°23/0176 DU 22 MARS 2023 : SONABHY ET DERRA IBRAHIM TRANSPORT INTERNATIONAL ET SERVICES,"TRANSPORT, PRODUIT PETROLIER, SONABHY, DERRA IBRAHIM TRANSPORT INTERNATIONAL ET SERVICES","(CONTRAT, AVENANT)",DOCESSEN,2023
01500,1982/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT N°23/0082 DU 09 FEVRIER 2023 + AVENANT N°23/0456 DU 16 OCTOBRE 2023 + AVENANT N°24/00396 DU 09 AOUT 2024: SONABHY ET KARA HYDROCARBURES,"TRANSPORT, PRODUIT PETROLIER, SONABHY, KARA HYDROCARBURES","(CONTRAT, AVENANT)",DOCESSEN,2023
01501,1983/CJ,JURIDIQUE ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°22/0582 DU 21 NOVEMBRE 2022 : SONABHY ET BENY LOGISTIQUE TRANSPORT,"TRANSPORT, PRODUIT PETROLIER, SONABHY, BENY LOGISTIQUE TRANSPORT",(CONTRAT),DOCESSEN,2022
01502,1984/CJ,JURIDIQUE ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°22/0566 DU 07 NOVEMBRE 2022 + AVENANT N°23/0173 DU 22 MARS 2023 + AVENANT N°23/0538 DU 13 DECEMBRE 2023 : SONABHY ET BIKIENGA ISSAKA,"TRANSPORT, PRODUIT PETROLIER, SONABHY, BIKIENGA ISSAKA","(CONTRAT, AVENANT)",DOCESSEN,2022 2023
01503,1985/CJ,JURIDIQUE ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°22/0540 DU 12 OCTOBRE 2022 : SONABHY ET GROUPE OUERMI INTERNATIONAL,"TRANSPORT, PRODUIT PETROLIER, SONABHY, GROUP OUERMI INTERNATIONAL",(CONTRAT),DOCESSEN,2022
01504,1986/CJ,JURIDIQUE ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; AVENANT N°22/0507 DU 26 SEPTEMBRE 2022 : SONABHY ET ECLAT SERVICE INTERNATIONAL,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ECLAT SERVICE INTERNATIONAL",(AVENANT),DOCESSEN,2022
01505,1987/CJ,JURIDIQUE ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°22/0552 DU 24 OCTOBRE 2022 : SONABHY ET HUDA GAZ,"TRANSPORT, PRODUIT PETROLIER, SONABHY, HUDA GAZ",(CONTRAT),DOCESSEN,2022
01506,1988/CJ,JURIDIQUE ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°22/0568 DU 07 NOVEMBRE 2022 + AVENANT N°23/0150 DU 10 MARS 2023 : SONABHY ET JESON POWER BURKINA,"TRANSPORT, PRODUIT PETROLIER, SONABHY, JESON POWER BURKINA","(CONTRAT, AVENANT)",DOCESSEN,2022 2023
01507,1989/CJ,JURIDIQUE ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°22/0563 DU 26 OCTOBRE 2022 + AVENANT N°24/0120 + AVENANT N°24/0093 DU 21 FEVRIER 2024 : SONABHY ET KINDO ISSA (RHINO BF LOGISTIC),"TRANSPORT, PRODUIT PETROLIER, SONABHY, KINDO ISSA, RHINO BF LOGISTIC","(CONTRAT, AVENANT)",DOCESSEN,2022 2024
01508,1990/CJ,JURIDIQUE ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°22/0538 DU 12 OCTOBRE 2022 + AVENANT N°23/0156 DU 13 MARS 2023: SONABHY ET OUEDRAOGO MOUSSA,"TRANSPORT, PRODUIT PETROLIER, SONABHY, OUEDRAOGO MOUSSA","(CONTRAT, AVENANT)",DOCESSEN,2022 2023
01509,1991/CJ,JURIDIQUE ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°22/0573 DU : SONABHY ET SHELD GROUP,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SHELD GROUP",(CONTRAT),DOCESSEN,2022
01510,1992/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT N°23/0042 DU 20 JUIN 2023 SONABHY SONABHY ET DADIA TRANSPORT,"TRANSPORT, PRODUIT PETROLIER, SONABHY, DADIA TRANSPORT",(CONTRAT),DOCESSEN,2023
01511,1993/CJ,JURIDICTION ET CONTENTIEUX : VENTE DE PRODUITS PETROLIERS : CONTRAT N°23/0085 DU 07 FEVRIER 2023 SONABHY ET FORTFIELD ENERGY,"VENTE, PRODUIT PETROLIER, SONABHY, FORTFIED ENERGY",(CONTRAT),DOCESSEN,2023
01512,1994/CJ,JURIDICTION ET CONTENTIEUX : TRASPORT DE PRODUITS PETROLIERS : CONTRAT N°23/0071 DU 03 FEVRIER 2023 SONABHY ET MEGA CONSTRUICTION ET DEVELOPPEMEN T,"TRANSPORT, PRODUIT PETROLIER, SONABHY, MEGA CONSTRUCTION ET DEVELOPPEMENT",(CONTRAT),DOCESSEN,2023
01513,1995/CJ,JURIDICTION ET CONTENTIEUX : TRASPORT DE PRODUITS PETROLIERS : CONTRAT N°23/127 DU 23 FEVRIER 2023 SONABHY ET GZ SERVICE INTRNATIONAL,"TRANSPORT, PRODUIT PETROLIER, SONABHY, GZ SERVICE INTERNATIONAL",(CONTRAT),DOCESSEN,2023
01514,1996/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE VENTEAU COMPTANT DE PRODUITS PETROLIERS : CONTRAT N°23/00103 DU 16 FEVRIER 2023 SONABHY ET JACK OIL INTERNATIONAL,"VENTE, PRODUIT PETROLIER, SONABHY, JACK OIL INTERNATIONAL",(CONTRAT),DOCESSEN,2023
01515,1997/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DECONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°23/0072 DU 03 FEVRIER 2023 SONABHY ET ETABLISSEMENT TAPSOBA YOUBA ET FRERES,"TANSOPORT, PRODUIT PETROLIER, SONABHY, ETABLISSEMENT TAPSOBA YOUBA ET FRERE",(CONTRAT),DOCESSEN,2023
01516,1998/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DECONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°21/00234 DU 13 OCTOBRE 2021 SONABHY ET GROUPE BENEWENDE EDUCATION PLUS,"TANSOPORT, PRODUIT PETROLIER, SONABHY, GOUPE BENEWEN EDUCATION PLUS",(CONTRAT),DOCESSEN,2023
01517,1999/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°20/00157 DU 20 MAI 2020 SONABHY ET EKS INTERNATIONAL,"TANSOPORT, PRODUIT PETROLIER, SONABHY, EKS",(CONTRAT),DOCESSEN,2023
01518,2000/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DEVENTE DE PRODUITS PETROLIERS N°23/00120 DU 22 FEVRIER2023 SONABHY ETSOCIETE OM ENERGY,"VENTE, PRODUIT PETROLIER, SONABHY, SOCIETE OM ENERGY",(CONTRAT),DOCESSEN,2023
01519,2001/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DETRANSPORT DE PRODUITS PETROLIERS N°23/00133 DU 27 FEVRIER2023 SONABHY ET BELKO MULTI SERVICE SARL,"TRANSPORT, PRODUIT PETROLIER, SONABHY, BELKO MULTI SERVICE",(CONTRAT),DOCESSEN,2023
01520,2002/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DETRANSPORT DE PRODUITS PETROLIERS N°20/00248 DU 26 SEPTEMNBRE 2020 SONABHY ET ETABLISSEMENT ZANGRE TRANSPORT,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ETABLISSEMENT ZANGRE TRANSPORT",(CONTRAT),DOCESSEN,2023
01521,2003/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DETRANSPORT DE PRODUITS PETROLIERS N°23/00105 DU 16 FEVRIER 2023 SONABHY ET SOBATRAC,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SOBATRAC",(CONTRAT),DOCESSEN,2023
01522,2004/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DETRANSPORT DE PRODUITS PETROLIERS N°23/00139DU 03 MARS 2023 SONABHY ET ARCELOR CONCEEPT SARL,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ARCELOR CONCEEPT SARL",(CONTRAT),DOCESSEN,2023
01523,2005/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DETRANSPORT DE PRODUITS PETROLIERS N°23/00140 DU 03 MARS 2023 SONABHY ET ZONGO ABDOULAYE (SHAKUR LOGISTIQUE),"TRANSPORT, PRODUIT PETROLIER, SONABHY, ZONGO ABDOULAYE",(CONTRAT),DOCESSEN,2023
01524,2006/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DETRANSPORT DE PRODUITS PETROLIERS N°23/00091 DU 09 FERVIER 2023 SONABHY ET DJAMI TRANSPORT,"TRANSPORT, PRODUIT PETROLIER, SONABHY, DJAMI TRANSPORT",(CONTRAT),DOCESSEN,2023
01525,2007/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DETRANSPORT DE PRODUITS PETROLIERS N°23/00148 DU 07 MARS 2023 SONABHY ET YATT ASSAYE FILS SARL,"TRANSPORT, PRODUIT PETROLIER, SONABHY, YATT ASSAYE FILS SARL",(CONTRAT),DOCESSEN,2023
01526,2008/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DEVENT DE PRODUITS PETROLIERS N°23/00144 DU 06 MARS 2023 SONABHY ET SOCIETE NAINY SARL,"TRANSPORT, PRODUIT PETROLIER, SONABHY, YATT ASSAYE FILS SARL","(CONTRAT, SOCIETE NAINY SARL)",DOCESSEN,2023
01527,2009/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°23/00166 DU 22 MARS 2023 SONABHY ET SOCIRTE AB LOGISTIQUE AND TRANS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SOCRTE AB LOGISTIQUE AND TRANS","(CONTRAT, SOCIETE NAINY SARL)",DOCESSEN,2023
01528,2010/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°23/00126 DU 23 FEVRIER 2023 SONABHY ET BAKI TECHNOLGIE SARL,"TRANSPORT, PRODUIT PETROLIER, SONABHY, BAKI TECHNOLGIE SARL","(CONTRAT, SOCIETE NAINY SARL)",DOCESSEN,2023
01529,2011/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°23/00129 DU 23 FEVRIER 2023 SONABHY ET SANA RIHANATA ( TRANSPORT SNA RIHA ET FILS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SANA RIHANATA",(CONTRAT),DOCESSEN,2023
01530,2012/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°23/00129 DU 22MARS 2023 SONABHY ET INDUSBAT-BF,"TRANSPORT, PRODUIT PETROLIER, SONABHY, INDUSBAT-BF",(CONTRAT),DOCESSEN,2023
01531,2013/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°23/00196 DU 28 MARS 2023 SONABHY ET ALFA TRANSPORT RT NEGOGES,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ALFA TRANSPORT RT NEGOGES",(CONTRAT),DOCESSEN,2023
01532,2014/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DEVENT SPOT DE PRODUITS PETROLIERS N°23/00212 DU 04 AVRIL 2023 SONABHY ET PRIME CONSULTORIA E COMERCI DE ALIMENTOS LTDA,"TRANSPORT, PRODUIT PETROLIER, SONABHY, PRIME CONSULTORIA E COMERCI DE ALIMENTOS LTDA",(CONTRAT),DOCESSEN,2023
01533,2015/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DEVENT DE PRODUITS DE PETROLIERS N°23/00187 DU 27 MARS 2023 SONABHY ET TAXX OIL INTERNATIONAL BURKINA,"VENTE, PRODUIT PETROLIER, SONABHY, TAXX OIL INTERNATIONAL BURKINA",(CONTRAT),DOCESSEN,2023
01534,2016/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS DE PETROLIERS N°23/00185 DU 24 MARS 2023 SONABHY ETAROYAL SARL,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ARAYAL SARL",(CONTRAT),DOCESSEN,2023
01535,2017/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS DE PETROLIERS N°23/00195 DU 28 MARS 2023 SONABHY ET GUIRE ZAKARIA TRANSPORT ET COMMERCE,"TRANSPORT, PRODUIT PETROLIER, SONABHY, GUIRE ZAKARIA TRANSPORT ET COMMERCE",(CONTRAT),DOCESSEN,2023
01536,2018/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS DE PETROLIERS N°23/00206 DU 04 AVRIL 2023 + AVENANT N°24/0001 DU 04 JANVIER 2024 : SONABHY ET GROUPE MASSITA CONSORTIUM,"TRANSPORT, PRODUIT PETROLIER, SONABHY, GROUPE MASSITA CONSORTIUM","(CONTRAT, AVENANT )",DOCESSEN,2023 2024
01537,2019/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS DE PETROLIERS N°23/00207 DU 04 AVRIL 2023 SONABHY ET WEN-YAM EXPRESSS SARL,"TRANSPORT, PRODUIT PETROLIER, SONABHY, WEN-YAM EXPRESSS SARL",(CONTRAT),DOCESSEN,2023
01538,2020/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE VENTE DE PRODUITS DE PETROLIERS N°23/00189 DU 17 JANVIER 2023 SONABHY ET SAMEL COMMERCE-TRANSPORT,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SAMEL COMMERCE-TRANSPORT",(CONTRAT),DOCESSEN,2023
01539,2021/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS DE PETROLIERS N°23/00191 DU 16 DECMBRE 2023 + AVENANT N°24/0055 DU 31 JANVIER 2024 : SONABHY ET CECOFA LOGISTICS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, CECOFA LOGISTICS","(CONTRAT, AVENANT)",DOCESSEN,2023 2024
01540,2022/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE VENTE DE PRODUITS DE PETROLIERS N°18/00840 DU 24 OCTOBRE 20118 SONABHY ET SELL TRADING,"VENTE, PRODUIT PETROLIER, SONABHY, SELL TRADING",(CONTRAT),DOCESSEN,2023
01541,2023/CJ,JURIDICTION ET CONTENTIEUX : VENTE DE PRODUITS PETROLIERS N° 23/00404 DU 14-08-2023 +AVENANT N°23/406 DU 22-08-2023 :SONABHY ET SUSTAINABLE ENERGIE SPC,"VENTE, PRODUIT PETROLIER, SONABHY, SUSTAINABLE ENERGIES SPC","(CONTRAT, AVENANT)",DOCESSEN,2023
01542,2024/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODIUTS PETROLIERS : CONTRAT N°23/110 DU 17-02-2023 DE OUEDRAOGO SAYOUBA :SONABHY ET SOTRASIB,"TRANSPORT, PRODUITS PETROLIERS, SONABHY, SOTRASIB, OUEDRAOGO SAYOUBA",(CONTRAT),DOCESSEN,2023
01543,2025/CJ,"JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS: CONTRAT N°23/00141 DU 06-03-2023 , SONABHY ET GROUPE ZALLE ADAMA","TRANSPORT, PRODUIT PETROLIER, SONABHY, GROUPE ZALLE ADAMA",(CONTRAT),DOCESSEN,2023
01544,2026/CJ,JURIDICTION ET CONTENTEEUX : TRANSPORT DE PRODUIT PETROLIER :CONTRAT N° 23/00239 DU 25-04-2023+ AVENANTN° 23/405 DU 18-08-2023 : SONABHY DE SOCIETE DE TRANSPORT CONGO ET FRERES,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SOCIETE DE TRANSPORT CONGO ET FRERES",(CONTRAT),DOCESSEN,2023
01545,2027/CJ,JURIDICTION ET CONTENTIEUX : PRODUIT PETROLIER: CONTRAT N°23/00367 DU 14-07-2023 : SONABHY ET WAYOU TRANSPORT INTERNATIONAL,"TRANSPORT, PRODUIT PETROLIER, SONABHY, WAYOU TRANSPORT INTERNATIONAL",(CONTRAT),DOCESSEN,2023
01546,2028/CJ,JURIDICTION ET CONTENTIEUX : PRODUIT PETROLIER : CONTRAT N°23/00400 DU 11-08-2023 :SONABHY ET AMS-ALPHA MOUS LIF SERVICE,"TRANSPORT, PRODUIT PETROLIER, SONABHY, AMS",(CONTRAT),DOCESSEN,2023
01547,2029/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT D'ACHAT ET DE VENTE D'OR :ANEEMAS ET THEIA TRADING,"ACHAT, VENTE, OR, ANEEMAS, THIEA TRADING DMCC",(CONTRAT),DOCESSEN,2023
01548,2030/CJ,JURIDICTION ET CONTENTIEUX :PROTOCOLE D'ENTENTE A QUATRE PARTIES SIGNES : SONABHY ET ANEEMAS ET THEIA TRADING ET DEMEX TRADING,"PROTOCOLE, ENTENTE, PRODUIT PETROLIER, ACHAT DEMEX TRADING, SONABHY, ANEEMAS, THEIA TRADING",(PROTOCOLE D'ENTENTE),DOCESSEN,2023
01549,2031/CJ,JURIDICTION ET CONTENTIEUX : VENTE DE PRODUITS PETROLIERS N° 23/00395 DU 31-07-2023 + CONTRAT N°23/0459 DU 16-10-2023 + ACTES DE CESSION 1 A 9 DU 11 JANVIER 2024 + ACTE DE CESSION N°24/0065 DU 07 FEVRIER 2024 + ACTE DE CESSION N°24/0146 DU 20 MARS 2024 + ACTE DE CESSION N°24/0214 DU 22 MAI 2024 + ACTE DE CESSION N°24/0215 DU 22 MAI 2024 + ACTE DE CESSION N°24/0216 DU 22 MAI 2024 + ACTE DE CESSION N°24/0297 DU 09 JUILLET 2024 : SONABHY ET DEMEX TRADING LIMITED DMCC,"VENTE, CESSION, PRODUIT PETROLIER, SONABHY, DEMEX TRADING LIMITED DMCC","(CONTRAT, ACTE DE CESSION)",DOCESSEN,2023 2024
01550,2032/CJ,"JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUIT PETROLIER : CONTRAT N°23/00442 DU 02-10-2023 ,SONABHY ET STTF -SOCIETE DE TRANSPORT TOURE ET FILS","TRANSPORT, PRODUIT PETROLIER, SONABHY, STTF",(CONTRAT),DOCESSEN,2023
01551,2033/CJ,JURIDICTION ET CONTENTIEUX : CONVENTION DE FINANCEMENT DANS LE CADRE DE LA MISE EN OEUVRE D'UN PROTOCOLE TRIPARTITE DU 27-09-2023 + AVENANT N°24/0080 DU 16 FEVRIER 2024 + CONVENTION TRIPARTITE N°24/0147 DU 20 MARS 2024 : SONABHY ET SONASP ( SOCIETE NATIONALE DES SUBSTENCES PRECIEUSES) ET RAKOULY GOLD,"FINANCEMENT, CONVENTION, PROTOCOLE TRIPARTITE, SONASP, RAKOULY GOLD, SONABHY",(CONTRAT ),DOCESSEN,2023 2024
01552,2034/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT N° 23/00321 DU 26-07-2023 :SONABHY ET ED-EMERY DISTRIBUTION,"VENTE, PRODUIT PETROLIER, SONABHY, WALEM ENERGIES",(CONTRAT),DOCESSEN,2023
01553,2035/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT N° 23/00381 DU 26-07-2023 : SONABHY ET ED-EMERY DISTRIBUTION,"TRANSPORT, PRODUIT PETROLIER , SONABHY, EMERY DISTRIBUTION",(CONTRAT),DOCESSEN,2023
01554,2036/CJ,JURIDICTION ET CONTENTIEUX : CONTRATN°23/00356 DU 07-07-2023 : SONABHY ET EDF-ENTREPRISE DEME ET FRERES,"TRANSPORT, PRODUIT PETROLIER, SONABHY, EDF",(CONTRAT ),DOCESSEN,2023
01555,2037/CJ,JURIDICTION ET CONTENTIEUX :TRANSPORT DE PRODUITS PETROLIERS : CONTRAT N° 23/00357 DU 07-07-2023 : SONABHY ET BTP-ECOS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, BTP-ECOS .SARL",(CONTRAT),DOCESSEN,2023
01556,2038/CJ,JURIDICTION ET CONTENTIEUX : VENTE DE PRODUITS PETROLIERS : CONTRAT N° 23/00363 DU 11-07-2023 : SONABHY ET NAHIB GROUP INTERNATIONAL,"VENTE, PRODUIT PETROLIER, SONABHY, NAHIB GROUP INTERNATIONAL",(CONTRAT),DOCESSEN,2023
